1331901000.180000	CfIUAd6iXq2sUE4i2	192.168.202.79	50493	192.168.229.251	80	tcp	http	0.020000	162	214	SF	-	0	ShADfFa	4	378	3	382	(empty)
1331901000.200000	COfSIS1bsh3zWpkbga	192.168.202.76	51655	64.4.23.149	40006	tcp	-	-	-	-	S0	-	0	S	1	52	0	0	(empty)
1331901000.190000	C7hMIS2XiGz2S8O6kj	192.168.202.79	46147	192.168.229.254	443	tcp	ssl	0.010000	550	1060	SF	-	0	ShADadfFr	8	974	13	1744	(empty)
1331901000.200000	CWQnUo4bRUUd8TaOU6	192.168.202.79	50495	192.168.229.251	80	tcp	http	0.010000	164	214	SF	-	0	ShADfFa	4	380	3	382	(empty)
1331901000.210000	CQ7wGc1ISKHeHWuzi5	192.168.202.79	50497	192.168.229.251	80	tcp	http	0.010000	164	214	SF	-	0	ShADfFa	4	380	3	382	(empty)
1331901000.200000	CIOLuW3fHwOzVpXB0h	192.168.202.79	46149	192.168.229.254	443	tcp	ssl	0.020000	548	1060	SF	-	0	ShADadfFr	8	972	13	1744	(empty)
1331901000.220000	CtNFCp3YIz1O0ER7He	192.168.202.79	46151	192.168.229.254	443	tcp	ssl	0.010000	548	1060	SF	-	0	ShADadfFr	9	1024	13	1744	(empty)
1331901000.220000	CkTGn021IjmxsCaaIa	192.168.202.79	50499	192.168.229.251	80	tcp	http	0.010000	163	214	SF	-	0	ShADfFa	4	379	3	382	(empty)
1331901000.230000	CCJk7B469WCcxBiBCb	192.168.202.79	46153	192.168.229.254	443	tcp	ssl	0.010000	548	1060	SF	-	0	ShADadfFr	8	972	13	1744	(empty)
1331901000.230000	C1ELOca1D4lcjvx1	192.168.202.79	50501	192.168.229.251	80	tcp	http	0.010000	162	214	SF	-	0	ShADfFa	4	378	3	382	(empty)
1331901000.240000	CksTEo6ztvFkHWzq	192.168.202.79	50503	192.168.229.251	80	tcp	http	0.020000	165	214	SF	-	0	ShADfFa	4	381	3	382	(empty)
1331901000.240000	CVjLuK2cMu6lBh3tzc	192.168.202.79	46155	192.168.229.254	443	tcp	ssl	0.020000	544	1060	SF	-	0	ShADadfFr	8	968	13	1744	(empty)
1331901000.260000	C6SwUo2lWDfrpgfgVl	192.168.202.79	50504	192.168.229.251	80	tcp	http	0.010000	182	214	SF	-	0	ShADfFa	4	398	3	382	(empty)
1331901000.260000	C7wxPc27tAmXdeD759	192.168.202.79	46158	192.168.229.254	443	tcp	ssl	0.010000	548	1060	SF	-	0	ShADadfFr	8	972	13	1744	(empty)
1331901000.270000	CP58jm4cuOyCrCHGu3	192.168.202.79	50506	192.168.229.251	80	tcp	http	0.010000	163	214	SF	-	0	ShADfFa	4	379	3	382	(empty)
1331901000.280000	CEI6Q31xo4lozLEYX5	192.168.202.79	50508	192.168.229.251	80	tcp	http	0.010000	163	214	SF	-	0	ShADfFa	4	379	3	382	(empty)
1331901000.270000	Cslsbd3mvy69txr7kg	192.168.202.79	46160	192.168.229.254	443	tcp	ssl	0.020000	548	1060	SF	-	0	ShADadfFr	8	972	13	1744	(empty)
1331901000.290000	C5AfFy35OeBUJUtu7i	192.168.202.79	46162	192.168.229.254	443	tcp	ssl	0.010000	548	1060	SF	-	0	ShADadfFr	8	972	13	1744	(empty)
